uri,backEnd_Variable,frontEnd_Variable
http://www.w3.org/2004/02/skos/core#notation,notation,
http://www.w3.org/ns/org#identifier,identifier,
http://www.w3.org/ns/org#location,location,
http://ag-gssa-applications.org/dia/ontology/v1.0#hasR3Score,hasR3Score,
http://ag-gssa-applications.org/dia/ontology/v1.0#IRDispatchDate,IRDispatchDate,
http://ag-gssa-applications.org/dia/ontology/v1.0#endDate,endDate,endDate
http://ag-gssa-applications.org/dia/ontology/v1.0#hSR2Label,hSR2Label,
http://ag-gssa-applications.org/dia/ontology/v1.0#hasAdditionalName,hasAdditionalName,altname
http://ag-gssa-applications.org/dia/ontology/v1.0#hasAddress,hasAddress,address
http://ag-gssa-applications.org/dia/ontology/v1.0#hasCode,hasCode,code
http://ag-gssa-applications.org/dia/ontology/v1.0#hasDescription,hasDescription,description
http://ag-gssa-applications.org/dia/ontology/v1.0#hasEmail,hasEmail,mail
http://ag-gssa-applications.org/dia/ontology/v1.0#hasEndLabel,hasEndLabel,
http://ag-gssa-applications.org/dia/ontology/v1.0#hasEndLimit,hasEndLimit,
http://ag-gssa-applications.org/dia/ontology/v1.0#hasEndScore,hasEndScore,
http://ag-gssa-applications.org/dia/ontology/v1.0#hasFile,hasFile,
http://ag-gssa-applications.org/dia/ontology/v1.0#hasFileForm,hasFileForm,
http://ag-gssa-applications.org/dia/ontology/v1.0#hasFileType,hasFileType,
http://ag-gssa-applications.org/dia/ontology/v1.0#hasInputMethod,hasInputMethod,
http://ag-gssa-applications.org/dia/ontology/v1.0#hasLabel,hasLabel,
http://ag-gssa-applications.org/dia/ontology/v1.0#hasLogo,hasLogo,
http://ag-gssa-applications.org/dia/ontology/v1.0#hasName,hasName,name
http://ag-gssa-applications.org/dia/ontology/v1.0#hasPostalCode,hasPostalCode,pincode
http://ag-gssa-applications.org/dia/ontology/v1.0#hasPurpose,hasPurpose,purpose
http://ag-gssa-applications.org/dia/ontology/v1.0#hasR1Label,hasR1Label,
http://ag-gssa-applications.org/dia/ontology/v1.0#hasR1Limit,hasR1Limit,
http://ag-gssa-applications.org/dia/ontology/v1.0#hasR1Score,hasR1Score,
http://ag-gssa-applications.org/dia/ontology/v1.0#hasR2Limit,hasR2Limit,
http://ag-gssa-applications.org/dia/ontology/v1.0#hasR2Score,hasR2Score,
http://ag-gssa-applications.org/dia/ontology/v1.0#hasR3Label,hasR3Label,
http://ag-gssa-applications.org/dia/ontology/v1.0#hasR3Limit,hasR3Limit,
http://ag-gssa-applications.org/dia/ontology/v1.0#hasReasonForSelection,hasReasonForSelection,
http://ag-gssa-applications.org/dia/ontology/v1.0#hasRiskAmount,hasRiskAmount,
http://ag-gssa-applications.org/dia/ontology/v1.0#hasRiskCategory,hasRiskCategory,
http://ag-gssa-applications.org/dia/ontology/v1.0#hasRiskScore,hasRiskScore,
http://ag-gssa-applications.org/dia/ontology/v1.0#hasStartLabel,hasStartLabel,
http://ag-gssa-applications.org/dia/ontology/v1.0#hasStartLimit,hasStartLimit,
http://ag-gssa-applications.org/dia/ontology/v1.0#hasStartScore,hasStartScore,
http://ag-gssa-applications.org/dia/ontology/v1.0#hasSubjectMatter,hasSubjectMatter,subjectMatter
http://ag-gssa-applications.org/dia/ontology/v1.0#hasTelephone,hasTelephone,phone
http://ag-gssa-applications.org/dia/ontology/v1.0#hasTitle,hasTitle,
http://ag-gssa-applications.org/dia/ontology/v1.0#hasURL,hasURL,url
http://ag-gssa-applications.org/dia/ontology/v1.0#hasValueType,hasValueType,
http://ag-gssa-applications.org/dia/ontology/v1.0#hasWeightage,hasWeightage,
http://ag-gssa-applications.org/dia/ontology/v1.0#identifier,identifier,
http://ag-gssa-applications.org/dia/ontology/v1.0#monetaryAmount,monetaryAmount,
http://ag-gssa-applications.org/dia/ontology/v1.0#para,para,
http://ag-gssa-applications.org/dia/ontology/v1.0#paraCategory,paraCategory,
http://ag-gssa-applications.org/dia/ontology/v1.0#paraID,paraID,
http://ag-gssa-applications.org/dia/ontology/v1.0#query,query,
http://ag-gssa-applications.org/dia/ontology/v1.0#queryDate,queryDate,
http://ag-gssa-applications.org/dia/ontology/v1.0#queryRaisedBy,queryRaisedBy,
http://ag-gssa-applications.org/dia/ontology/v1.0#recoveryAmount,recoveryAmount,
http://ag-gssa-applications.org/dia/ontology/v1.0#response,response,
http://ag-gssa-applications.org/dia/ontology/v1.0#responseCategory,responseCategory,
http://ag-gssa-applications.org/dia/ontology/v1.0#responseDate,responseDate,
http://ag-gssa-applications.org/dia/ontology/v1.0#selectedForAudit,selectedForAudit,
http://ag-gssa-applications.org/dia/ontology/v1.0#stage,stage,
http://ag-gssa-applications.org/dia/ontology/v1.0#startDate,startDate,startDate
http://ag-gssa-applications.org/dia/ontology/v1.0#status,status,
http://ag-gssa-applications.org/dia/ontology/v1.0#unit,unit,
http://ag-gssa-applications.org/dia/data#hasCardType,hasCardType,
