uri,backEnd_Variable,frontEnd_Variable
http://www.w3.org/ns/org#headOf,headOf,
http://www.w3.org/ns/prov#wasGeneratedBy,wasGeneratedBy,
http://www.w3.org/ns/org#basedAt,basedAt,
http://www.w3.org/ns/org#changedBy,changedBy,
http://www.w3.org/ns/org#classification,classification,
http://www.w3.org/ns/org#hasMember,hasMember,
http://www.w3.org/ns/org#hasMembership,hasMembership,
http://www.w3.org/ns/org#hasPost,hasPost,posts
http://www.w3.org/ns/org#hasPrimarySite,hasPrimarySite,
http://www.w3.org/ns/org#hasRegisteredSite,hasRegisteredSite,
http://www.w3.org/ns/org#hasSite,hasSite,
http://www.w3.org/ns/org#hasSubOrganization,hasSubOrganization,department
http://www.w3.org/ns/org#hasUnit,hasUnit,
http://www.w3.org/ns/org#heldBy,heldBy,
http://www.w3.org/ns/org#holds,holds,
http://www.w3.org/ns/org#linkedTo,linkedTo,linkedTo
http://www.w3.org/ns/org#member,member,
http://www.w3.org/ns/org#memberDuring,memberDuring,
http://www.w3.org/ns/org#memberOf,memberOf,
http://www.w3.org/ns/org#organization,organization,
http://www.w3.org/ns/org#originalOrganization,originalOrganization,
http://www.w3.org/ns/org#postIn,postIn,
http://www.w3.org/ns/org#remuneration,remuneration,
http://www.w3.org/ns/org#reportsTo,reportsTo,
http://www.w3.org/ns/org#resultedFrom,resultedFrom,
http://www.w3.org/ns/org#resultingOrganization,resultingOrganization,
http://www.w3.org/ns/org#role,role,
http://www.w3.org/ns/org#siteAddress,siteAddress,
http://www.w3.org/ns/org#siteOf,siteOf,
http://www.w3.org/ns/org#subOrganizationOf,subOrganizationOf,
http://www.w3.org/ns/org#transitiveSubOrganizationOf,transitiveSubOrganizationOf,
http://www.w3.org/ns/org#unitOf,unitOf,
http://www.w3.org/ns/prov#used,used,
http://www.w3.org/ns/prov#wasDerivedFrom,wasDerivedFrom,
http://ag-gssa-applications.org/dia/ontology/v1.0#hasAuditOffice,hasAuditOffice,auditOffice
http://ag-gssa-applications.org/dia/ontology/v1.0#hasDepartment,hasDepartment,
http://ag-gssa-applications.org/dia/ontology/v1.0#hasDependent,hasDependent,
http://ag-gssa-applications.org/dia/ontology/v1.0#hasGeographicDivision,hasGeographicDivision,
http://ag-gssa-applications.org/dia/ontology/v1.0#hasObservationCategory,hasObservationCategory,
http://ag-gssa-applications.org/dia/ontology/v1.0#hasObservations,hasObservations,
http://ag-gssa-applications.org/dia/ontology/v1.0#hasOrganizationtLevel,hasOrganizationtLevel,level
http://ag-gssa-applications.org/dia/ontology/v1.0#hasParent,hasParent,
http://ag-gssa-applications.org/dia/ontology/v1.0#hasPostAudit,hasPostAudit,
http://ag-gssa-applications.org/dia/ontology/v1.0#hasPreAudit,hasPreAudit,
http://ag-gssa-applications.org/dia/ontology/v1.0#hasQueryResponse,hasQueryResponse,
http://ag-gssa-applications.org/dia/ontology/v1.0#hasResource,hasResource,
http://ag-gssa-applications.org/dia/ontology/v1.0#hasRisk,hasRisk,
http://ag-gssa-applications.org/dia/ontology/v1.0#hasRiskComp,hasRiskComp,
http://ag-gssa-applications.org/dia/ontology/v1.0#hasRiskSubject,hasRiskSubject,
http://ag-gssa-applications.org/dia/ontology/v1.0#hasSchemes,hasSchemes,schemes
http://ag-gssa-applications.org/dia/ontology/v1.0#hasTemporal,hasTemporal,
http://www.w3.org/2004/02/skos/core#broader,broader,
http://www.w3.org/2004/02/skos/core#inScheme,inScheme,
http://www.w3.org/2004/02/skos/core#topConceptOf,topConceptOf,
http://ag-gssa-applications.org/dia/data#hasAuditPeriod,hasAuditPeriod,
http://ag-gssa-applications.org/dia/data#hasAuditYear,hasAuditYear,
http://ag-gssa-applications.org/dia/ontology/v1.0#hasGeoID,hasGeoID,location_geoId
http://www.w3.org/2004/02/skos/core#broaderTransitive,broaderTransitive,
