uri,backEnd_Variable,frontEnd_Variable
http://www.w3.org/2002/07/owl#Thing,Thing,
http://www.w3.org/2002/07/owl#Nothing,Nothing,
http://purl.org/goodrelations/v1#BusinessEntity,BusinessEntity,
http://www.w3.org/2004/02/skos/core#Concept,Concept,
http://www.w3.org/ns/org#ChangeEvent,ChangeEvent,
http://www.w3.org/ns/org#FormalOrganization,FormalOrganization,
http://www.w3.org/ns/org#Membership,Membership,
http://www.w3.org/ns/org#Organization,Organization,
http://www.w3.org/ns/org#OrganizationalCollaboration,OrganizationalCollaboration,
http://www.w3.org/ns/org#OrganizationalUnit,OrganizationalUnit,
http://www.w3.org/ns/org#Post,Post,
http://www.w3.org/ns/org#Role,Role,
http://www.w3.org/ns/org#Site,Site,
http://www.w3.org/ns/prov#Activity,Activity,
http://xmlns.com/foaf/0.1/Agent,,
http://xmlns.com/foaf/0.1/Organization,,
http://xmlns.com/foaf/0.1/Person,,
http://www.w3.org/2004/02/skos/core#concept,concept,
http://ag-gssa-applications.org/dia/ontology/v1.0#Audit,Audit,
http://ag-gssa-applications.org/dia/ontology/v1.0#Department,Department,department
http://ag-gssa-applications.org/dia/ontology/v1.0#DepartmentPost,DepartmentPost,posts
http://ag-gssa-applications.org/dia/ontology/v1.0#DepartmentScheme,DepartmentScheme,schemes
http://ag-gssa-applications.org/dia/ontology/v1.0#DepartmentSite,DepartmentSite,site
http://ag-gssa-applications.org/dia/ontology/v1.0#GeographicDivision,GeographicDivision,
http://ag-gssa-applications.org/dia/ontology/v1.0#Observations,Observations,
http://ag-gssa-applications.org/dia/ontology/v1.0#PostAudit,PostAudit,
http://ag-gssa-applications.org/dia/ontology/v1.0#PreAudit,PreAudit,
http://ag-gssa-applications.org/dia/ontology/v1.0#QueryResponse,QueryResponse,
http://ag-gssa-applications.org/dia/ontology/v1.0#Resource,Resource,
http://ag-gssa-applications.org/dia/ontology/v1.0#Risk,Risk,
http://ag-gssa-applications.org/dia/ontology/v1.0#RiskComponent,RiskComponent,
http://ag-gssa-applications.org/dia/ontology/v1.0#RiskRules,RiskRules,
http://ag-gssa-applications.org/dia/ontology/v1.0#Temporal,Temporal,
http://www.w3.org/2004/02/skos/core#ConceptScheme,ConceptScheme,
nodeID://b10001,,
nodeID://b10976,,
nodeID://b10979,,
nodeID://b10982,,
nodeID://b10988,,
